datetime,temperature,humidity,wind_speed,rain
2024-10-04 22:00:07,28.88,72,4.22,0.0
2024-10-04 23:00:08,27.62,77,0.89,0.0
2024-10-05 00:00:07,26.65,80,0.89,0.0
2024-10-05 01:00:07,26.08,83,0.89,0.0
2024-10-05 02:00:07,25.65,86,0.45,0.0
2024-10-05 03:00:07,24.42,90,2.35,0.0
2024-10-05 04:00:07,24.67,91,0.89,0.0
2024-10-05 05:00:07,24.41,92,2.49,0.0
2024-10-05 06:00:07,23.87,93,0.45,0.0
2024-10-05 07:00:06,23.87,93,2.59,0.0
2024-10-05 08:00:08,23.31,94,2.49,0.0
2024-10-05 09:00:07,23.45,94,2.46,0.0
2024-10-05 10:00:07,23.37,95,2.6,0.0
2024-10-05 11:00:08,22.77,95,2.47,0.0
2024-10-05 12:00:08,23.45,95,2.24,0.0
2024-10-05 13:00:08,25.88,90,1.79,0.0
2024-10-05 14:00:07,28.6,76,2.24,0.0
2024-10-05 15:00:07,28.69,73,3.53,0.0
2024-10-05 16:00:07,30.17,68,3.74,0.0
2024-10-05 17:00:08,29.96,65,4.33,0.0
2024-10-05 18:00:07,31.47,64,4.23,0.0
2024-10-05 19:00:07,31.06,63,0.45,0.0
2024-10-05 20:00:06,31.74,59,0.89,0.0
2024-10-05 21:00:07,31.21,63,4.47,0.0
2024-10-05 22:00:07,30.05,64,2.24,0.0
2024-10-05 23:00:08,28.36,68,0.89,0.0
2024-10-06 00:00:07,26.57,79,0.89,0.0
2024-10-06 01:00:07,26.63,80,2.24,0.0
2024-10-06 02:00:07,25.67,85,1.79,0.0
2024-10-06 03:00:07,25.05,88,0.89,0.0
2024-10-06 04:00:07,24.75,92,0.45,0.0
2024-10-06 05:00:07,25.06,90,2.75,0.0
2024-10-06 06:00:07,24.6,93,2.79,0.0
2024-10-06 07:00:07,25.06,91,0.45,0.0
2024-10-06 08:00:06,24.5,91,0.45,0.0
2024-10-06 09:00:08,24.54,92,0.45,0.0
2024-10-06 10:00:07,24.6,93,2.0,0.65
2024-10-06 11:00:07,24.11,94,2.04,0.56
2024-10-06 12:00:07,24.46,94,0.89,0.8
2024-10-06 13:00:08,23.58,94,1.34,0.0
2024-10-06 14:00:07,24.09,93,2.24,0.56
2024-10-06 15:00:07,23.85,92,1.34,0.0
2024-10-06 16:00:07,22.19,95,0.89,3.16
2024-10-06 17:00:07,22.63,94,1.79,1.15
2024-10-06 18:00:08,22.22,93,1.34,3.16
2024-10-06 19:00:07,22.25,94,2.6,0.75
2024-10-06 20:00:07,22.19,94,0.89,1.54
2024-10-06 21:00:08,22.25,92,0.89,0.0
2024-10-06 22:00:07,22.62,92,1.34,0.0
2024-10-06 23:00:08,22.26,93,0.89,0.0
2024-10-07 00:00:07,22.62,94,2.68,1.33
2024-10-07 01:00:07,22.35,93,5.17,1.73
2024-10-07 02:00:07,22.12,94,4.8,0.92
2024-10-07 03:00:07,21.81,95,4.45,0.0
2024-10-07 04:00:07,21.98,96,4.46,0.49
2024-10-07 05:00:08,22.01,96,4.08,1.89
2024-10-07 06:00:07,21.89,97,3.8,1.15
2024-10-07 07:00:10,21.88,97,3.63,1.33
2024-10-07 08:00:07,21.64,97,3.52,0.56
2024-10-07 09:00:08,21.41,97,3.4,0.0
2024-10-07 10:00:07,21.31,98,3.47,1.78
2024-10-07 11:00:07,21.5,98,2.71,0.0
2024-10-07 12:00:07,21.54,98,2.63,0.22
2024-10-07 13:00:07,21.66,98,3.19,1.2
2024-10-07 14:00:08,22.25,97,1.34,0.37
2024-10-07 15:00:07,22.35,96,1.34,1.0
2024-10-07 16:00:07,23.29,93,4.47,0.0
2024-10-07 17:00:07,24.15,89,2.68,0.0
2024-10-07 18:00:07,24.42,89,2.24,0.0
2024-10-07 19:00:08,22.88,94,3.58,1.33
2024-10-07 20:00:07,23.51,93,1.79,0.0
2024-10-07 21:00:07,23.7,90,3.58,0.0
2024-10-07 22:00:07,23.13,92,1.79,0.0
2024-10-07 23:00:07,22.77,93,4.02,0.0
2024-10-08 00:00:07,22.63,92,2.24,0.0
2024-10-08 01:00:09,22.77,93,1.79,0.0
2024-10-08 02:00:08,22.77,93,1.34,0.0
2024-10-08 03:00:07,23.13,93,1.34,0.0
2024-10-08 04:00:07,23.14,93,0.89,0.0
2024-10-08 05:00:07,23.2,93,1.34,0.0
2024-10-08 06:00:07,23.13,93,2.68,0.0
2024-10-08 07:00:06,23.12,93,1.34,0.0
2024-10-08 08:00:06,23.14,93,0.45,0.0
2024-10-08 09:00:08,23.12,92,2.24,0.0
2024-10-08 10:00:08,22.62,93,1.34,0.0
2024-10-08 11:00:08,22.97,93,1.34,0.0
2024-10-08 12:00:10,22.99,93,0.45,0.0
2024-10-08 13:00:08,24.03,92,0.89,0.0
2024-10-08 14:00:07,25.87,86,2.24,0.0
2024-10-08 15:00:07,26.68,84,1.79,0.0
2024-10-08 16:00:07,27.86,79,2.68,0.0
2024-10-08 17:00:07,27.78,77,3.13,0.0
2024-10-08 18:00:07,28.87,73,2.24,0.0
2024-10-08 19:00:07,28.88,72,1.34,0.0
2024-10-08 20:00:07,28.73,74,4.02,0.0
2024-10-08 21:00:07,27.78,78,1.34,0.0
2024-10-08 22:00:08,26.74,79,1.79,0.75
2024-10-08 23:00:07,26.47,82,0.89,0.0
2024-10-09 00:00:07,26.08,83,1.34,0.0
2024-10-09 01:00:07,25.58,87,0.89,0.0
2024-10-09 02:00:07,24.76,91,1.79,0.0
2024-10-09 03:00:07,24.75,90,1.34,0.0
2024-10-09 04:00:07,24.27,92,1.34,0.0
2024-10-09 05:00:07,24.23,92,1.11,0.65
2024-10-09 06:00:07,24.12,94,1.24,0.0
2024-10-09 07:00:07,23.74,95,0.45,0.0
2024-10-09 08:00:07,23.74,95,1.34,0.0
2024-10-09 09:00:07,23.88,95,1.79,0.0
2024-10-09 10:00:08,24.25,95,0.89,2.37
2024-10-09 11:00:07,23.73,95,2.24,1.38
2024-10-09 12:00:07,23.74,95,1.34,13.32
2024-10-09 13:00:09,23.73,96,2.68,0.0
2024-10-09 14:00:07,24.25,96,1.79,0.0
2024-10-09 15:00:07,23.87,95,3.58,0.0
2024-10-09 16:00:08,23.73,94,3.13,0.0
2024-10-09 17:00:07,23.87,95,4.02,0.0
2024-10-09 18:00:08,24.25,96,6.71,6.48
2024-10-09 19:00:07,23.87,96,7.15,11.53
2024-10-09 20:00:07,23.35,96,3.58,20.51
2024-10-09 21:00:08,24.03,97,3.13,1.78
2024-10-09 22:00:06,23.88,95,2.68,1.78
2024-10-09 23:00:07,24.24,96,6.71,0.0
2024-10-10 00:00:07,24.09,95,5.81,0.0
2024-10-10 01:00:07,25.2,95,2.68,0.0
2024-10-10 02:00:07,25.93,94,10.73,0.0
2024-10-10 03:00:06,26.25,88,8.49,0.0
2024-10-10 04:00:07,25.61,87,11.62,1.0
2024-10-10 05:00:08,22.8,92,7.15,0.75
2024-10-10 06:00:07,21.77,95,2.24,0.0
2024-10-10 07:00:07,22.26,96,4.92,0.0
2024-10-10 08:00:07,21.69,95,5.81,0.0
2024-10-10 09:00:08,21.68,89,7.6,0.0
2024-10-10 10:00:07,21.79,91,2.24,3.87
2024-10-10 11:00:07,21.18,94,3.58,1.4
2024-10-10 12:00:09,21.17,92,3.58,0.0
2024-10-10 13:00:09,20.59,95,2.24,0.0
2024-10-10 14:00:07,21.07,93,1.79,0.0
2024-10-10 15:00:07,22.65,88,3.13,0.0
2024-10-10 16:00:07,23.17,88,2.24,0.0
2024-10-10 17:00:07,22.05,84,8.0,0.0
